Año,Referencia,Dominio de aplicación,Tipo de datos,Número de variables,Longitud temporal,Mecanismo de ausencia asumido,Patrón de ausencia evaluado,Método,Tipo de salida: puntual o probabilística,Pérdida de entrenamiento,Métricas,Baselines,Ventajas,Limitaciones,Código o datos disponibles,Relevancia para tu taxonomía
1993,"Little, R. J. A. (1993). ","Ciencias sociales, encuestas por muestreo y estudios de panel longitudinales con deserción (attrition).",Continuos (asunciones de normalidad multivariante) o categóricos (distribuciones multinomiales).,"Multivariados generales (2 variables en ejemplos de mezclas normales, tablas de contingencia $J imes K$ con márgenes suplementarios, 3 variables en modelos de panel).",Longitudinal de múltiples ondas (estudios de panel repetidos en el tiempo).,Missing Not at Random (MNAR) / No al azar.,Patrones monótonos de deserción y patrones generales no monótonos de no respuesta multivariada.,"Modelos de Mezcla de Patrones (Pattern-Mixture Models - PMM) y Modelos de Mezcla de Conjuntos de Patrones (Pattern-Set PMM). Consiste en modelar la distribución conjunta de datos completos de forma condicionada al patrón de valores faltantes (estratificando la muestra por patrón). Para resolver la subidentificación crónica (los datos ausentes de un patrón no se observan), se imponen restricciones de identificabilidad matemática que vinculan los parámetros no identificados con los de otros patrones observados, p. ej., Restricciones de Variables Faltantes de Casos Completos (CCMV restrictions).",Puntual (parámetros de la media marginal y matrices de covarianza agregando los estimadores de los estratos mediante combinaciones lineales ponderadas por las probabilidades del patrón).,Máxima Verosimilitud (ML) explícita no iterativa bajo la imposición de restricciones de identificabilidad del modelo de mezcla de patrones.,"Eficiencia asintótica (pérdida de tamaño de muestra efectivo ante datos MCAR), sesgo de los coeficientes, varianza asintótica de las estimaciones.","Modelos de selección ignorables tradicionales (asumiendo MAR) estimables con algoritmos EM iterativos complejos, análisis de casos completos (CC), análisis de casos disponibles (AC).","Proporciona estimadores de Máxima Verosimilitud analíticos (no iterativos) cerrados para patrones de datos ausentes complejos que de otro modo requerirían el algoritmo EM iterativo; los parámetros de mezcla condicionales son de alto valor práctico (ej. comparar ""movers"" frente a ""stayers""); las estimaciones son menos vulnerables a la falta de normalidad de los datos que los modelos de selección.","El modelo está inherentemente subidentificado y las estimaciones finales dependen de asunciones de restricciones matemáticas de identificabilidad que no se pueden verificar empíricamente desde los datos (como CCMV); si el número de casos completos es muy bajo, las restricciones CCMV se vuelven inestables y provocan estimaciones altamente erráticas.",Datos de encuestas de panel de ingresos ISDP. Sin código abierto adjunto.,Concepto fundamental para el modelado de datos faltantes no ignorables (NMAR) mediante la partición condicional basada en patrones de ausencia (PMM) como una alternativa computacionalmente directa y explícita a los modelos de selección.
1994,"Diggle, P., & Kenward, M. G. (1994).","Investigación biomédica y agrícola (ej. ensayos de proteína láctea semanal en vacas, ganancia de rendimiento lácteo frente a mastitis, ensayo clínico multicéntrico de antidepresivos).","Continuos, series temporales longitudinales de mediciones repetidas desbalanceadas.","Variable de respuesta medida de manera repetida a lo largo de múltiples periodos de tiempo, más covariables fijas de tratamiento, periodo, secuencia y centro.",Mediciones repetidas en visitas de seguimiento fijas (desde 4 periodos en un diseño cruzado hasta 19 semanas de duración en el ensayo lácteo).,Informative Drop-out (ID) o deserción informativa (Not Missing at Random - NMAR).,"Pérdida de seguimiento monótona (drop-out / deserción), donde una vez que el sujeto se retira o se pierde, no se vuelven a registrar observaciones.","Modelo de selección conjunta (selection model) que combina: (a) un modelo lineal general multivariante para la respuesta continua completa (asumiendo distribución gaussiana multivariante con estructuras de covarianza como autorregresiva de primer orden, simetría compuesta o antedependencia de orden 2); y (b) un modelo de regresión logística para el proceso de deserción, que permite que la probabilidad de retiro dependa del valor actual (posiblemente faltante) y de los valores previos de la respuesta.",Probabilística/Mixta. Estima parámetros puntuales del modelo marginal de respuesta mediante Máxima Verosimilitud (ML) y realiza inferencia mediante pruebas de razón de verosimilitud para contrastar supuestos de aleatoriedad (probando si el coeficiente de la variable actual $eta1$ en el modelo logístico es cero).,Maximización numérica de la función de log-verosimilitud del modelo conjunto mediante el algoritmo simplex de Nelder-Mead.,"Desviación estándar de los estimadores, sesgo relativo de la tendencia temporal, cambios en la log-verosimilitud ($-2 \log L$), porcentaje de sesgo eliminado en simulación.",Mínimos Cuadrados Ordinarios (OLS) y Máxima Verosimilitud bajo el supuesto de pérdida de seguimiento al azar (RD/MAR).,"Primer modelo formal unificado para el tratamiento riguroso de deserción informativa en datos continuos repetidos longitudinales; permite cuantificar y contrastar formalmente las hipótesis de CRD, RD e ID; corrige los sesgos de estimación de las tendencias que ocurren cuando las deserciones están correlacionadas con respuestas de bajo rendimiento.","Alta sensibilidad a la mala especificación del supuesto de distribución conjunta y de la estructura de covarianza; la optimización de la verosimilitud conjunta con más de 20 parámetros es sumamente lenta con el algoritmo simplex; debido a que la variable faltante en el momento del drop-out nunca se observa, los parámetros del modelo ID se estiman de manera indirecta dependiendo fuertemente de supuestos matemáticos de normalidad.",Datos reales provistos por Solvay Duphar BV (ensayo de antidepresivos) y la Universidad de Reading (mastitis en ganado). Sin código de implementación adjunto en las fuentes.,"Modelo de selección clásico seminal para datos faltantes no ignorables (NMAR) en series de tiempo longitudinales repetidas continuas, definiendo la interacción probabilística entre la respuesta latente y la variable indicadora de abandono."
1994,"Kong, A., Liu, J. S., & Wong, W. H. (1994). ","Inferencia y estadística Bayesiana multivariante (ejemplos en estimación de la matriz de covarianza normal, análisis no paramétrico de datos de bateo de jugadores de béisbol, modelos gráficos probabilísticos y genética de ligamiento/pedigrí de loci múltiples).","Continuos, categóricos o discretos de alta complejidad estructural y no i.i.d. (ej. cadenas de Markov, árboles, distribuciones de Dirichlet infinitas).","Variable según el caso (ej. datos de béisbol con 18 variables, matriz de covarianza normal de 6 dimensiones).","No aplica (su naturaleza de procesamiento es secuencial por casos $t = 1, \dots, n$ para la generación de pesos de importancia estocástica).",Missing at Random (MAR) o no ignorables (NMAR) según el modelo específico (p. ej. en genética de ligamiento).,Patrones de datos faltantes multivariados generales complejos.,"Imputación Secuencial (Sequential Imputation) no iterativa. Es una variante del muestreo de importancia que genera múltiples conjuntos de datos aumentados imputando consecutivamente las partes faltantes del caso $t$ basándose en la densidad predictiva condicionada en los datos observados actuales y en los valores previamente imputados, acumulando y normalizando un peso de importancia estocástica recursivo para cada trayectoria de simulación.",Probabilística. Representa y aproxima la distribución de probabilidad a posteriori del parámetro de interés $ heta$ mediante una mezcla ponderada de las distribuciones de los conjuntos de datos completos aumentados.,No aplica (es un algoritmo estocástico de simulación monte carlo directo que evita optimizaciones iterativas).,"Tamaño de muestra efectivo (Effective Sample Size - ESS) calculado mediante la varianza de los pesos estandarizados de importancia, sesgo, errores estándar.","Muestreador de Gibbs (Gibbs sampler), Algoritmo de aumento de datos iterativo de Tanner y Wong, EM.","Método no iterativo que elimina las lentitudes e inestabilidades de convergencia del EM y del muestreador de Gibbs; permite realizar análisis de sensibilidad, análisis de influencia de casos (case-deletion) y actualizaciones en tiempo real de manera extraordinariamente barata simplemente recalculando o ajustando los pesos de importancia acumulados sobre las simulaciones existentes.","Si los datos observados de casos completos iniciales son críticamente pocos, el estimador puede volverse inestable (varianza de pesos muy alta, ESS muy bajo) debido a que las primeras imputaciones secuenciales se guían por prioris planas imprecisas.",Simulaciones ejecutadas en Sparc Station II/SLC. Datos históricos de Murray (bivariada normal) y Efron-Morris (bateo de béisbol).,Algoritmos de simulación e imputación de importancia secuencial (Muestreo de Importancia Secuencial / SIS) no iterativos para la resolución Bayesiana de datos ausentes complejos de alta dimensión y dependencias estructurales.
1995,"Little, R. J. A. (1995). ","Ensayos clínicos longitudinales de medidas repetidas (ej. ensayos clínicos de hipertensión, estudios de función pulmonar infantil, estudios de proteína en leche de vacas, progresión de CD4 en pacientes con SIDA).","Continuos o mixtos continuos/categóricos, datos longitudinales repetidos desbalanceados.","Variable de respuesta medida repetidamente en el tiempo, más variables predictoras basales de diseño.",Múltiples visitas de seguimiento repetidas (ondas longitudinales monótonas).,"Clasifica y estudia múltiples supuestos: completamente al azar dependiente de covariables, al azar (MAR/RD), no ignorables dependientes de la respuesta (outcome-based) y no ignorables dependientes de coeficientes aleatorios (random-coefficient-based).",Pérdida de seguimiento monótona (drop-out / deserción).,"Taxonomía y unificación de modelos longitudinales de coeficientes aleatorios (interceptos y pendientes latentes) en dos grandes familias de factorización: 1. Modelos de selección con coeficientes aleatorios (Random-Coefficient Selection Models): factoring $[Yi, Ri, etai | Xi] = [Yi | Xi, etai] [etai | Xi] [Ri | Xi, Yi, etai]$. 2. Modelos de mezcla de patrones con coeficientes aleatorios (Random-Coefficient Pattern-Mixture Models): factoring $[Yi, Ri, etai | Xi] = [Yi | Xi, etai, Ri] [etai | Xi, Ri] [Ri | Xi]$.",Mixta. Permite estimar trayectorias medias longitudinales puntuales y varianzas asociadas a los coeficientes aleatorios del crecimiento bajo ML o inferencia bayesiana.,Software estadístico estándar para modelos ignorables (Laird-Ware mediante BMDP5V o SAS Proc Mixed) o algoritmos iterativos EM/MCMC complejos (como muestreo de Gibbs) para las integrales de los coeficientes aleatorios en los no ignorables.,"Sesgo de las pendientes longitudinales medias, errores estándar, eficiencia relativa e intervalos de confianza bajo simulaciones.","Mínimos cuadrados ordinarios, análisis de casos completos, mínimos cuadrados no ponderados (ML de modelos de mezcla de patrones) y modelos lineales condicionales de Wu-Bailey.",Proporciona un marco taxonómico unificado extremadamente claro de todos los modelos de datos faltantes no ignorables en estudios longitudinales; distingue la deserción dependiente de la respuesta de la deserción impulsada por la progresión de la enfermedad subyacente (coeficientes aleatorios); muestra cómo los modelos de mezcla de patrones evitan especificar la compleja forma matemática de la deserción.,La estimación conjunta en modelos de selección no ignorables es sumamente inestable y depende de supuestos gaussianos no verificables; los modelos de mezcla de patrones no restringidos sufren de una inestabilidad severa para patrones con muy pocas observaciones.,Resúmenes de simulaciones de la literatura. Sin código abierto adjunto.,Clasificación exhaustiva de modelos longitudinales repetidos conjuntos para datos NMAR (modelos de selección con coeficientes aleatorios vs modelos de mezcla de patrones).
1995,Draper (1995),"Inferencia estadística, toma de decisiones y modelado bayesiano en presencia de incertidumbre estructural.","Datos estadísticos de modelos (ej. precio del petróleo, fallas del transbordador Challenger).",N/A.,N/A.,MAR/MCAR en el contexto de expansión de modelos bayesianos (ocultamiento de periodos temporales pasados para simulación de incertidumbre).,Validación predictiva (ocultar datos pasados y predecir el futuro conocido).,Expansión Discreta de Modelos (Discrete Model Expansion) y Bayes empírico. Integra la incertidumbre estructural promediando sobre un espacio de modelos posibles.,Probabilística (distribuciones predictivas completas).,Maximización de la verosimilitud marginal integrada (Bayes factor) y calibración de pesos.,"Nominal p-values, forecast error calibration, posterior model probabilities.","Fixed effects models, logistic regression, naive single-model selection (S* approach).",Cuantifica rigurosamente la incertidumbre estructural que el modelado clásico con un solo modelo 'correcto' ignora; mejora el calibrado de las bandas de incertidumbre.,Computacionalmente desafiante para espacios de modelos grandes.,No disponible directamente en los extractos.,Enfoques Bayesianos de promediado de modelos y análisis de robustez ante incertidumbre del mecanismo y estructura de datos.
1996,"Gupta, A., & Lam, M. S. (1996). ",Finanzas y clasificación empresarial (clasificación y predicción de aumentos o disminuciones en las ganancias por acción de empresas industriales de CompuStat).,Tabulares continuos multivariantes (ratios contables y financieros de empresas) junto a una variable objetivo binaria.,"6 variables predictoras financieras continuas (cambios porcentuales en inventario, ventas netas, dividendos, depreciación, gasto de capital y utilidad neta) y 1 variable binaria de respuesta (ganancias por acción).",Datos anuales de dos periodos consecutivos (1986-1987 para entrenamiento y ajuste; 1987-1988 para validación/conjunto de prueba).,No se define un supuesto explícito de mecanismo (se trata la ausencia como un problema de reconstrucción predictiva de atributos).,"Casos con una sola variable faltante (experimento 2) y casos con múltiples variables faltantes reales en las empresas (experimento 3), con proporciones de ausencia de hasta el 50% de la muestra.","Reconstrucción de atributos faltantes utilizando redes neuronales multicapa artificiales (algoritmo de retropropagación / backpropagation). Para un solo atributo faltante, se entrena una red para predecir dicho atributo a partir de las otras 5 variables financieras; para atributos múltiples, se diseña una única red con múltiples entradas (variables completamente observadas) y múltiples salidas correspondientes a las variables con posibles faltantes.",Puntual (los valores reconstruidos son estimaciones numéricas directas insertadas en la tabla).,Error cuadrático medio para retropropagación de los pesos de la red neuronal empleando una función de activación sigmoidal.,Tasa de ajuste (fit rate) en el conjunto de entrenamiento y tasa de acierto (hit rate) de clasificación final en el conjunto de prueba usando Análisis Discriminante y Redes Neuronales como clasificadores sobre los datos imputados.,"Imputación por la media de las variables (Average), modelo de regresión lineal iterativo múltiple, eliminación de casos incompletos (Complete Cases).",Las redes neuronales superan de forma consistente al reemplazo por la media y la regresión iterativa en la tasa de acierto de clasificación; es robusto ante relaciones no lineales de los atributos; permite resolver la imputación de múltiples variables de forma eficiente con un solo entrenamiento de red con múltiples salidas (en lugar de ajustar múltiples modelos de regresión individuales).,"Dificultad para definir hiperparámetros óptimos de forma teórica (momento, tasa de aprendizaje, número de nodos ocultos se eligen por ensayo y error); propensión al sobreajuste si se entrena con demasiadas iteraciones; los pesos finales de la red entrenada son difíciles de interpretar (naturaleza de caja negra).",Implementado en el software de simulación NNSIMS y SPSSPC en una microcomputadora 386DX. Datos financieros reales de CompuStat.,Demostración empírica de imputación no lineal no paramétrica tabular multivariada mediante modelos de aprendizaje automático (redes MLP) para mejorar tareas de clasificación descendente en conjuntos de datos pequeños con alta tasa de ausencia.
1996,"Little, R. J. A., & Wang, Y. (1996). ",Ensayos clínicos en psiquiatría (ensayo clínico de dosis-comparación de haloperidol para el tratamiento de esquizofrenia) y regresiones generales con predictores faltantes.,"Continuos, datos multivariados con covariables de diseño continuas o categóricas fijas ($x$).","Variable de respuesta en visitas repetidas (ej. puntuación psiquiátrica BPRSS medida en línea de base, semana 1 y semana 4) y covariables fijas de dosificación de fármacos.","Mediciones longitudinales repetidas en periodos de seguimiento fijos (semana 0, 1 y 4).",MAR (bajo restricciones CCMV) o no al azar (NMAR) parametrizado mediante combinaciones de variables que modelan el impacto de la respuesta no observada en la no respuesta.,"Patrón monótono de deserción unilateral (medición final de la semana 4 faltante para una proporción de sujetos, línea de base y semana 1 observadas).",Modelos de Mezcla de Patrones de regresión normal multivariante con covariables fijas. Formula el modelo de regresión de $Y$ en $x$ separado para completos e incompletos. Incorpora restricciones para identificar los parámetros: 1. Supuesto MAR (identificado analíticamente mediante CCMV). 2. Supuestos NMAR basados en la respuesta donde la no respuesta depende de combinaciones lineales conocidas de las variables ($C Y{(1)} + \lambda Y{(2)}$) para un parámetro $\lambda$ dado. Presenta estimación por Máxima Verosimilitud (ML) mediante el algoritmo EM (para modelos sobreidentificados) y simulación de la distribución posterior mediante MCMC (muestreo de Gibbs).,"Mixta. El algoritmo EM proporciona estimaciones puntuales de medias y coeficientes, y el muestreador de Gibbs simula la distribución posterior bayesiana completa generando medias y varianzas de los efectos bajo prioris conjugadas.","Algoritmo EM modificado con barrido (sweep operator) para alternar estimaciones de momentos y coeficientes, y muestreo de Gibbs con distribuciones condicionales normales y Wishart.","Parámetros estimados del cambio medio de BPRSS, error estándar, significancia estadística (valores p) del tratamiento downstream, histogramas de pesos.","Análisis de casos completos, Máxima Verosimilitud ignorable (IML), modelo de selección probit de Heckman tradicional.",Primer modelo formal que extiende los modelos de mezcla de patrones para incorporar covariables estructurales de diseño $x$; permite realizar análisis de sensibilidad sistemáticos de forma más robusta que los modelos de selección al no requerir elegir una forma paramétrica funcional para la selección (como el probit) sino fijando el parámetro de dependencia $\lambda$; provee algoritmos detallados para EM y Gibbs.,"La estabilidad y consistencia del modelo descansa en la asunción de linealidad de las regresiones; si la covarianza estimada resulta no definida positiva en muestras pequeñas, requiere corrección mediante descomposición ortogonal de eigenvalores.",Implementado en funciones personalizadas de R (empleando algoritmos SEM). Datos del ensayo de haloperidol facilitados por el Dr. Theodore Van Putten y Dr. Jim Mintz.,"Incorporación de covariables de diseño fijas en modelos de mezcla de patrones (PMM) multivariados continuos bajo MAR y NMAR, soportados por estimación iterativa EM y simulación bayesiana MCMC."
1997,Schafer (1997),"Análisis multivariante estadístico avanzado, bioestadística, demografía y encuestas nacionales complejas.","Bases de datos de múltiples tipos de variables (continuas, categóricas y mixtas) con datos incompletos.",General (multivariado arbitrario de alta dimensión).,"N/A (enfocado en cortes transversales, con extensiones en panel).",MAR (Missing at Random) e ignorabilidad.,"Patrones de ausencia arbitrarios, aninados/monótonos y cuasi-monótonos.","Monografía teórica integral sobre EM, ECM, ECME y algoritmos MCMC estocásticos (Data Augmentation, Gibbs sampler, IPF bayesiano).",Probabilística (Múltiple Imputación con algoritmos paramétricos).,Estimación bayesiana a posteriori e iteraciones estocásticas basadas en el log-likelihood de datos completos.,"Log-verosimilitud, autovalores de transformación, autocorrelaciones de series de tiempo de parámetros.","LD (listwise), regresiones univariadas y sustituciones clásicas.","Sustento matemático unificado para tres modelos paramétricos clave: normal, log-lineal y localización general (mixed data).",Forte dependencia de supuestos paramétricos estrictos; costo computacional de las iteraciones MCMC en grandes datasets.,"Software NORM, CAT, MIX, PAN en S-PLUS y ejecutables independientes.",La obra de referencia definitiva de la estadística clásica de datos faltantes; unifica la teoría de verosimilitud con los métodos bayesianos MCMC.
1997,Meng & van Dyk (1997),"Algoritmos de optimización para inferencia estadística con datos incompletos (ajuste de distribución t multivariada, tomografía de emisión, efectos mixtos).",Datos tabulares incompletos continuos y de conteo.,Multivariante (ej. simulación t de 10 dimensiones).,N/A.,"MAR/MCAR (datos latentes/auxiliares aumentados, ""data augmentation"").",N/A (convergencia teórica).,"Algoritmos EM-type acelerados (ECM, ECME, SAGE, AECM, PX-EM) mediante el uso de parametrizaciones no convencionales y la introducción de un parámetro de trabajo de escala/rotación optimizado.",Puntual (estimación de parámetros de máxima verosimilitud).,Maximización de la verosimilitud esperada de los datos completos.,Tasa de convergencia global y de componentes (número de iteraciones requeridas para convergencia).,"EM estándar (Dempster et al., 1977), Newton-Raphson, algoritmos de Fessler & Hero (1994).",Incrementa drásticamente la velocidad de convergencia del algoritmo EM clásico sin sacrificar la estabilidad ni la simplicidad conceptual; conecta formalmente EM con MCMC.,La devolución analítica del parámetro de trabajo óptimo puede ser sumamente laboriosa y dependiente de la familia de distribuciones.,N/A (ejemplos matemáticos).,Métodos de optimización de máxima verosimilitud con aumento de datos y reducción de modelos en presencia de variables latentes.
1998,Schafer & Olsen (1998),"Ciencias de la conducta, psicología social y salud adolescente (estudio AAPT sobre consumo de alcohol).",Datos tabulares mixtos continuos y categóricos de encuestas escolares.,"9 variables clave (monitoreo parental, relación con padres, consumo de pares, alcohol, género, etc.).",Estudios de seguimiento en grados escolares (grados 7 y 9).,MAR (Missing at Random) e ignorabilidad.,"Ausencia planificada por diseño de tres formas (A, B, C; 1/3 de datos faltantes por diseño) y deserción no planificada (45% de pérdida).",Imputación Múltiple (MI) mediante Aumento de Datos (Data Augmentation - DA) basado en MCMC con modelo normal multivariado (software NORM).,Probabilística (m = 10 conjuntos de imputaciones independientes).,A posteriori bayesiana bajo distribuciones previas no informativas (pasos I-step y P-step secuenciales).,"Errores estándar combinados, p-valores ajustados y porcentaje de información faltante (Rubin's Rules).","Listwise deletion (eliminación por lista), sustitución de la media global, sustitución de predicciones de regresión simple.",Mantiene el tamaño muestral completo; incorpora de forma realista la incertidumbre de la imputación; robusto para variables binarias con redondeo.,No modela interacciones complejas inter-variables a menos que se definan explícitamente como productos en el modelo de imputación.,"Software gratuito NORM, CAT, MIX, PAN (en Fortran/Windows).",Guía práctica clave que popularizó la imputación múltiple y el uso de algoritmos MCMC/DA en la investigación conductual.
1999,van Buuren (1999),"Epidemiología, encuestas de salud pública (NHANES III), demografía y medicina conductual.","Datasets multivariados con variables de diversos niveles de medición (nominales, ordinales, intervalares) y no lineales.",Múltiples variables clínicas y demográficas del dataset NHANES III.,N/A.,MAR (Missing at Random).,"Patrones generales complejos, circularidades lógicas (Y1 dada Y2, e Y2 dada Y1) y predictores recursivos ausentes.",MICE (Multivariate Imputation by Chained Equations) / Missing Data Machine (MDM): descompone el problema en regresiones condicionales univariadas.,Probabilística (conjuntos de m imputaciones independientes).,"Optimización univariada local por mínimos cuadrados, regresión logística o logística politómica secuencial.","fmi (fracción de información faltante), RMSE, consistencia predictiva.","Método de Modelado Conjunto (Joint Modeling) de Schafer (1997), interpolación por splines (transcan).",Extrema flexibilidad; evita formular una densidad conjunta global; permite imputación pasiva para sincronizar transformaciones/dummies.,"Teóricamente, las distribuciones condicionales especificadas de forma independiente pueden ser incompatibles matemáticamente.","Librería ""MDM"" para S-PLUS disponible gratuitamente.","Aporta el paradigma FCS (Especificación Condicional Completa), permitiendo la imputación multivariada sin supuestos de normalidad global."
1999,"Scharfstein, D. O., Rotnitzky, A., & Robins, J. M. (1999). ",Ensayos clínicos y epidemiología del VIH/SIDA (conteo de células CD4 a las 56 semanas en el ensayo clínico aleatorizado ACTG 175).,"Continuos y categóricos de eventos en tiempo continuo (tiempos de drop-out, conteos de CD4 repetidos, uso de drogas).","Variable de respuesta final $Y$ (CD4 a las 56 semanas), historia del proceso de covariables $V(t)$ (edad, CD4 previo, uso de drogas IV), indicador de deserción y tiempo continuo de retiro $Q$.",Tiempo continuo de seguimiento hasta un límite común de $T = 56$ semanas.,"Not Missing at Random (NMAR) / No ignorable. Se asume que el riesgo instantáneo (hazard) de deserción en el tiempo $t$ depende del resultado post-deserción $Y$ de forma proporcional a través de un término multiplicativo $\exp(lpha0 Y)$, donde $lpha0$ es el parámetro de sesgo de selección no identificado.",Pérdida de seguimiento y censura en tiempo continuo ($Q < T$).,"Estimadores semiparamétricos ponderados por el inverso de la probabilidad de censura aumentados (Augmented Inverse Probability of Censoring Weighted - AIPCW). Dado que el parámetro $lpha0$ que mide el sesgo de selección es inestimable desde los datos sin supuestos paramétricos extremos sobre la respuesta, proponen tratar $lpha0$ como un parámetro de sensibilidad conocido a priori y estimar la media marginal $\mu0$ como una función del mismo mediante análisis de sensibilidad. Se estiman las funciones de hazard base acumuladas $\Lambda0(t)$ de forma no paramétrica.","Mixta. Provee una estimación puntual de la media marginal de CD4 para cada valor fijado de $lpha0$, junto a errores estándar e intervalos de confianza asintóticos robustos (RAL).",Resolución de ecuaciones de estimación AIPCW recursivas para estimar de manera no paramétrica e independiente del tiempo la línea de base del riesgo acumulado $\Lambda(t; \gamma)$ en cada grupo.,"Sesgos de las medias de CD4 estimadas, desviación estándar empírica de las simulaciones, errores estándar asintóticos teóricos y tasas de cobertura de intervalos.","Mínimos cuadrados ordinarios sobre casos completos (CC), estimadores IPCW simples (sin aumentos/corrección), estimadores bajo supuesto CAR/MAR ($lpha0 = 0$).",Proporciona estimadores consistentemente normales y asintóticamente lineales (RAL) para la media de $Y$ sin requerir modelar la compleja distribución de verosimilitud de la respuesta y covariables (robusto a la mala especificación del modelo de datos); permite un análisis de sensibilidad formalmente impecable; maneja de manera natural covariables de alta dimensión y de tiempo continuo en el modelo de Cox.,"Si el parámetro de sensibilidad $lpha0$ toma valores muy extremos, las ponderaciones para unos pocos sujetos con respuestas extremas se disparan explosivamente (breakdown de los pesos), lo que causa que los estimadores AIPCW se vuelvan inestables y colapsen hacia los límites teóricos del intervalo de la muestra.",Datos reales del ensayo clínico ACTG 175 del SIDA. Sin código abierto adjunto.,Estimadores robustos semiparamétricos ponderados por probabilidad inversa (AIPCW) para el análisis de sensibilidad de deserción NMAR en tiempo continuo con covariables de alta dimensión bajo modelos de riesgo proporcional (Cox).
1999,Pitt & Shephard (1999),Econometría financiera y modelado de volatilidad estocástica (filtrado y suavizado bayesiano secuencial).,Series de tiempo no lineales y no gaussianas de activos financieros.,Multivariante (ej. volatilidades de múltiples activos).,Series diarias financieras extensas.,MAR en el contexto de variables de estado latentes no observadas.,Estimación de estados ocultos filtrados en tiempo real.,"APF (Auxiliary Particle Filter) o Filtro de Partículas Auxiliar. Introduce variables auxiliares para pre-filtrar y remuestrear las partículas basadas en estimaciones de máxima verosimilitud de un paso adelante, mitigando el problema de la muestra de partículas ""ciegas"".",Probabilística (distribución posterior empírica de las variables latentes).,Minimización del error de aproximación mediante muestreo de importancia (SIR).,"Varianza de las estimaciones, log-likelihood, effective sample size of particles.","Bootstrap filter original (Gordon et al., 1993), métodos de suavizado MCMC tradicionales.",Resuelve el problema del colapso de partículas cuando los datos observados están en las colas de la distribución de transición; reduce la varianza del estimador secuencial.,El cálculo del APF completo con variables de estado de alta dimensión puede ser computacionalmente prohibitivo.,N/A.,Métodos de simulación secuencial Monte Carlo (filtros de partículas) y variables latentes para el filtrado en series temporales no lineales.
2002,Schafer & Graham (2002),"Psicología comunitaria, ciencias del comportamiento y salud mental.","Datos tabulares multivariados continuos, categóricos, mixtos y semi-continuos.",General (multivariado arbitrario).,Transversales y longitudinales con attrition.,"MCAR, MAR y MNAR.","Ausencia univariada, monótona y patrones realistas de deserción (attrition).",Revisión rigurosa de las dos grandes familias del estado del arte recomendado: Máxima Verosimilitud (FIML) e Imputación Múltiple (MI).,Probabilística (MI) y puntual adaptada (FIML).,Maximización del log-likelihood de datos observados (EM/FIML) y muestreo bayesiano MCMC a posteriori (DA).,"RMSE, cobertura de intervalos de confianza, sesgo de estimación estandarizado, poder estadístico.","Eliminación por lista (LD), pairwise (AC), sustitución de medias, hot-deck, regresión condicional, ipsative mean imputation.","Demuestra matemáticamente que el modelado MAR mediante ML y MI es robusto frente a desviaciones ligeras de MAR, por lo que es la mejor práctica disponible.",Los modelos no-MAR (selección y mezcla de patrones) son sumamente inestables y sensibles a desviaciones paramétricas pequeñas.,Software comercial y gratuito referenciado detalladamente en su sitio web.,Análisis taxonómico crítico que formaliza y valida la ignorabilidad y robustez de los métodos paramétricos recomendados.
2004,Junninen et al. (2004),Calidad del aire y meteorología ambiental (Helsinki y Belfast 1998).,"Contaminantes gaseosos y variables de meteorología (WS, WD, TEMP, RH).",10 variables ambientales simultáneas.,Año completo con muestreo horario (8758 horas por variable).,MAR.,"Tres patrones simulados: Simple (huecos de 1-5h), Medium (huecos medios), Complex (bloques largos de días), tasas de 10% y 25%.","Univariantes (Linear, Spline, NN); Multivariantes (REGEM, NN, SOM, MLP); Híbridos y Multiple Imputation (MI).",Puntual y Probabilística (MI).,Backpropagation del error en MLP y optimización de centroides en SOM.,"Index of agreement (d2), R2, RMSE, MAE, preservación de frecuencia por espectro de potencia (Fourier).","Random Imputation, Mean Imputation.",Alinea la efectividad del método con el patrón y longitud del hueco; evalúa la conservación de las frecuencias de la serie de tiempo.,Las redes MLP de la época eran muy simples (una única capa oculta sin autoatención).,"Paquete MATLAB ""Missing Data Toolbox"" público en www.uku.fi/envi/downloads.htm.",Establece el estándar metodológico clásico de evaluación por longitud de hueco y espectro de Fourier.
