authors,year,title,category,time_series,reasoning,verdict
Dong et al.,2024,Deep network embedding with dimension selection,A,NO,Provides a formal theoretical proof that deep network embedding vectors treated as missing data converge weakly to the true posterior distribution in 2-Wasserstein distance.,REVIEW
Lim et al.,2024,Deeply Learned Generalized Linear Models with Missing Data,A,NO,Establishes a formal probabilistic bridge for deeply learned generalized linear models under ignorable (MAR) and non-ignorable (MNAR) missingness mechanisms via ELBO bounds.,REVIEW
Elseddik et al.,2023,Deep Learning-Based Approaches for Enhanced Diagnosis and Comprehensive Understanding of Carpal Tunnel Syndrome,D,NO,Presents a clinical application of deep learning and standard hypothesis tests for Carpal Tunnel Syndrome diagnosis without addressing missing data imputation theory.,SKIP
Collier et al.,2024,Deep Learning Imputation for Asymmetric and Incomplete Likert-Type Items,B,NO,"Substantively discusses the statistical validity, bias, and underlying assumptions of traditional imputation on rating scale data while introducing a deep learning imputation alternative.",REVIEW
Xu et al.,2023,Deep Learning-Based Imputation Method to Enhance Crowdsourced Data on Online Business Directory Platforms for Improved Services,C,NO,"Proposes a deep learning imputation framework for crowdsourced business directory attributes, citing missingness issues as general practical background.",SKIP
Choi et al.,2021,Deep Learning Approach to Generate a Synthetic Cognitive Psychology Behavioral Dataset,D,NO,Focuses on synthetic tabular data generation using pre-trained GANs for small cognitive psychology samples rather than missing data imputation or inference theory.,SKIP
Ghalebikesabi et al.,2021,Deep Generative Missingness Pattern-Set Mixture Models,A,NO,Rigorously derives a VAE framework based on Little (1993) pattern-set mixture models to sample from posterior distributions under ignorable (MAR) and non-ignorable (MNAR) missingness.,REVIEW
Dong et al.,2020,Counterfactual learning for recommender system,C,NO,Mentions Rosenbaum and Rubin propensity score frameworks and imputation models as background in a general overview of counterfactual debiasing for recommender systems.,SKIP
de Jong et al.,2019,Deep learning for clustering of multivariate clinical patient trajectories with missing values,C,YES,"Proposes a recurrent VAE model (VaDER) to handle missing values when clustering clinical time series trajectories, focusing on empirical clustering rather than missing data inference theory.",SKIP
Lin et al.,2020,Data-driven missing data imputation in cluster monitoring system based on deep neural network,C,NO,Proposes a deep feature imputation heuristic for server cluster monitoring systems and compares it empirically against conventional multiple imputation without theoretical proofs.,SKIP
Wang et al.,2019,Data augmentation for intelligent manufacturing with generative adversarial framework,D,YES,Applies a GAN framework for energy consumption time series data augmentation in manufacturing without engaging with statistical missing data inference theory.,SKIP
Simmonds et al.,2017,Data Preprocessing to Enhance Flow Forecasting in a Tropical River Basin,D,YES,Evaluates standard statistical multiple imputation as a preprocessing step prior to training neural network river flow forecasting models.,SKIP
Dash et al.,2016,Design of self-adaptive and equilibrium differential evolution optimized radial basis function neural network classifier for imputed database,D,NO,Proposes a medoid imputation heuristic and RBF neural network classifier for tabular datasets without addressing statistical missing data inference theory.,SKIP
Sobrevilla et al.,2016,"Daily Weather Forecast in Tiwi, Albay, Philippines using Artificial Neural Network with Missing Values Imputation",D,YES,Uses basic multiple imputation and listwise deletion for dataset preprocessing prior to neural network weather forecasting.,SKIP
Kuroda,2005,Data augmentation algorithm for graphical models with missing data,D,NO,"Focuses on classical Bayesian data augmentation for discrete graphical models, pre-dating modern deep learning imputation and containing no neural architecture.",SKIP
Sushil et al.,2024,Cross-institution natural language processing for reliable clinical association studies: a methodological exploration,B,NO,"Substantively explores methodological validity, measurement error, and association bias when using deep NLP feature extraction alongside multiple imputation in clinical epidemiology.",REVIEW
Chen et al.,2025,Copula-Conditional GAIN: A Vine Copula-Empowered Framework for High-Fidelity Imputation of Missing Geotechnical Parameters,C,NO,"Combines MICE preprocessing with C-Vine Copula and GAIN for engineering parameter imputation, evaluating empirical metrics without theoretical statistical proofs.",SKIP
Zhang et al.,2018,Deep Matrix Factorization for Recommender Systems with Missing Data not at Random,A,NO,"Formulates a deep matrix factorization architecture under the MNAR framework, deriving variational Bayesian inference for sampling missing entries from the posterior distribution.",REVIEW
Nuevas & Natividad,2026,"Data Imputation Strategies for GRU-Based Corn Yield Forecasting: A Comparative Analysis of KNN, MICE, and EM",D,YES,"Evaluates KNN, MICE, and EM imputation techniques as standard preprocessing choices for downstream GRU time series forecasting models.",SKIP
