authors,year,title,category,time_series,reasoning,verdict
Chen et al.,2024,CDRM: Causal disentangled representation learning for missing data,C,NO,"Mentions conventional multiple imputation as motivation for proposing a causal disentangled VAE framework, but does not formally connect DL imputation to Rubin's statistical inference theory.",SKIP
Kierdorf et al.,2022,Behind the Leaves: Estimation of Occluded Grapevine Berries With Conditional Generative Adversarial Networks,D,NO,"Applies Conditional GANs to synthesize occluded image regions for grapevine berry counting, without addressing statistical missing data inference theory.",SKIP
Abroshan et al.,2023,Conservative Policy Construction Using Variational Autoencoders for Logged Data With Missing Values,A,NO,Formally derives a variational framework using Partial Variational Autoencoders (PVAEs) to estimate the posterior distribution P(X | X_obs) under feature missingness to safely bound uncertainty in offline decision-making policies.,REVIEW
Baddoo et al.,2021,Comparison of Missing Data Infilling Mechanisms for Recovering a Real-World Single Station Streamflow Observation,C,YES,"Compares univariate and multiple imputation methods for single-station streamflow time series recovery, focusing on empirical error metrics without connecting DL imputation to statistical inference theory.",SKIP
Kim et al.,2019,Chronic Disease Prediction Using Character-Recurrent Neural Network in The Presence of Missing Information,C,NO,"Uses a character-recurrent neural network (Char-RNN) to implicitly infer missing clinical values during prediction without requiring separate imputation, but does not address Rubin's statistical inference theory.",SKIP
Yang et al.,2019,Categorical EHR Imputation with Generative Adversarial Nets,C,NO,"Proposes a GAN-based categorical imputation model for EHR data and contrasts it with traditional multiple imputation, but focuses on predictive accuracy rather than formal statistical validity theory.",SKIP
Yilmaz et al.,2019,Completing right-censored data in time-series modelling,C,YES,"Implements ANN-based and Gaussian imputation for completing right-censored time series observations, focusing on predictive modeling performance without addressing Rubin's statistical inference framework.",SKIP
Jordanov et al.,2018,CLASSIFIERS ACCURACY IMPROVEMENT BASED ON MISSING DATA IMPUTATION,C,NO,"Evaluates Multiple Imputation (MI), KNN, and Bagged Trees for imputing missing values in radar signal classification, focusing on classifier accuracy without formal DL statistical inference theory.",SKIP
Yozgatligil et al.,2013,Comparison of missing value imputation methods in time series: the case of Turkish meteorological data,C,YES,"Compares simple interpolation, MLP neural networks, and EM-MCMC multiple imputation on spatio-temporal meteorological time series, focusing on empirical precision metrics.",SKIP
Ng et al.,2009,Comparative Studies in Problems of Missing Extreme Daily Streamflow Records,C,YES,"Evaluates GRNN-GA, k-NN, and multiple imputation for infilling missing daily streamflow records, focusing on empirical error metrics.",SKIP
Moffat et al.,2007,Comprehensive comparison of gap-filling techniques for eddy covariance net carbon fluxes,C,YES,"Reviews and benchmarks 15 gap-filling techniques (including ANNs and Multiple Imputation Methods) for eddy covariance flux time series, assessing empirical reliability of annual flux sums.",SKIP
Tan et al.,2026,Bridging Machine Learning and Clinical Endpoints: A METABRIC-Informed Simulation Study of Missing Data Imputation for RECIST-Based Best Overall Response,B,YES,"Substantively discusses and evaluates the statistical validity of ML/DL imputation (LSTM, MissForest) versus multiple imputation under MAR and MNAR estimand strategies for inferential clinical endpoints (RECIST Best Overall Response) without providing formal mathematical proofs.",REVIEW
Norazizi et al.,2019,Comparison of Artificial Neural Network (ANN) and Other Imputation Methods in Estimating Missing Rainfall Data at Kuantan Station,C,YES,"Compares ANN, Bootstrapped-EM, and MICE for imputing missing daily rainfall data, focusing on empirical MAE/RMSE/R2 performance.",SKIP
Jamil et al.,2015,Constructing partial least squares model in the presence of missing data,C,NO,"Evaluates Multiple Imputation and Neural Network post-processing for partial least squares modeling of missing data, focusing on empirical estimation accuracy.",SKIP
Feng et al.,2025,Coal and gas outburst risk prediction based on improved DBO optimized CNN,D,NO,"Uses MICE as a standard data preprocessing step prior to CNN classification for coal and gas outburst prediction, without addressing statistical inference theory.",SKIP
de Vries et al.,2021,Comparing three machine learning approaches to design a risk assessment tool for future fractures: predicting a subsequent major osteoporotic fracture in fracture patients with osteopenia and osteoporosis,C,NO,"Applies MICE or RSF imputation as preprocessing to missing clinical data before training survival models (Cox, ANN-DeepSurv), without examining the statistical validity of DL imputation.",SKIP
Pang et al.,2025,Conditional Diffusion Model-based Imputation Method for Missing Satellite Telemetry Data,A,YES,Formulates a conditional diffusion deep learning model that formally models the posterior distribution of missing satellite telemetry values P(X_mis | X_obs) given observed conditioning data.,REVIEW
Choi et al.,2024,CONDITIONAL INFORMATION BOTTLENECK APPROACH FOR TIME SERIES IMPUTATION,A,YES,Provides a formal theoretical analysis adapting variational decomposition to prove that the conditional information bottleneck (CIB) framework provides a theoretical foundation for deep learning multiple imputation and uncertainty quantification in time series.,REVIEW
Chu et al.,2024,Causal Interventional Prediction System for Robust and Explainable Effect Forecasting,C,YES,"Combines a variational autoencoder with fully conditional specification of multiple imputations for causal effect prediction, but focuses on causal interventional forecasting rather than the statistical validity bridge between DL imputation and Rubin's framework.",SKIP
Dauletkhan et al.,2025,"Comparative Analysis of Statistical, Machine Learning, and Deep Learning Models for PM2.5 Prediction in Almaty",C,YES,"Evaluates how different imputation techniques (mean, time-based mean, MICE) affect the predictive accuracy of ML and DL models (LSTM, CNN, CNN-LSTM) for air pollution forecasting, without addressing statistical inference theory.",SKIP
